reviews_text,rating,timestamp,sentiment_label,sentiment_score
uh this game is good but the people swear too much 😞,5,2026-08-12,negative,0.7135160565376282
l like this game,1,2026-08-12,positive,0.888945996761322
this earth best game,5,2026-08-12,positive,0.9183998107910156
This is a very good app please download it,5,2026-08-12,positive,0.9870331287384033
👍🤪👍,3,2026-08-12,positive,0.9371598958969116
the 🤬🤬🤬😡 Roblox is so cool,5,2026-08-12,negative,0.8566049337387085
Wow this game was nice,5,2026-08-12,positive,0.9821974039077759
YOU CREATE VERY NICEEEE! GAME MY FAVORITE GAME ❤️❤️❤️ THANKYOU,5,2026-08-12,positive,0.9815686941146851
optional but good 😎iii,5,2026-08-12,positive,0.8066731095314026
this game is fun it fun games but the updates get better is 5/5,4,2026-08-12,positive,0.9691614508628845
It has a tech isuue problem in the verifications,1,2026-08-12,negative,0.5910972952842712
I can't join saying I don't have internet while a I have internet and I can't join the game,1,2026-08-12,negative,0.784022331237793
this game is so good I like it so much,5,2026-08-12,positive,0.9878098964691162
i like it is a very good game,5,2026-08-12,positive,0.9812445044517517
I LOVE THIS MY SON PLAYS IT ALL DAY 🤩,5,2026-08-12,positive,0.9829520583152771
That's why he is the GOAT The GOAT,5,2026-08-12,positive,0.9125725626945496
it was my favourite and now i cant even play it because of my phone type,1,2026-08-12,negative,0.40814974904060364
formula kahan gaye Gayab kyon Ho gayi formula jaldi se lao Varna report kar dunga Jo bhi Mera comment pad raha hai guys please mujhe support Karen roblox ke andar Jo game hai uska naam hai break for car vahan per mere pass 8 formula the ek bhi nahin Hai,5,2026-08-12,neutral,0.8068256378173828
hate the updates 😒 🙄 😑 😕 😐 😪 😒 🙄 😑 😕 😐 😪 😒 🙄,2,2026-08-12,negative,0.9526606798171997
more updates please,5,2026-08-12,positive,0.679816722869873
disease such a good game,5,2026-08-12,positive,0.8805067539215088
Very good game + free games and horron games free,5,2026-08-12,positive,0.9822512269020081
Dude this update is getting worse like we can't communicate anyone else forever and ever,1,2026-08-12,negative,0.9387283325195312
it's good and best online game,5,2026-08-12,positive,0.9802145957946777
best game in the world,5,2026-08-12,positive,0.9383761286735535
I don't have robux,3,2026-08-12,neutral,0.544075071811676
no words needed,5,2026-08-12,neutral,0.6055734157562256
its good,5,2026-08-12,positive,0.7962439060211182
"Bring old back, we really hate these updates",1,2026-08-12,negative,0.9422463178634644
good luck,5,2026-08-12,positive,0.8969486951828003
Yoo Roblox is my favorite game i play Roblox daily my favorite game in Roblox is Animal hospital (Anomaly),5,2026-08-12,positive,0.9814651608467102
so nice game,5,2026-08-12,positive,0.9647368788719177
👎🫷👍,5,2026-08-12,neutral,0.5455588102340698
gooooooooooooood■,5,2026-08-12,positive,0.7016759514808655
has football ⚽🏈,5,2026-08-12,neutral,0.6073606610298157
Very good game and no ads,5,2026-08-12,positive,0.9696053862571716
It's more fan and it's not a scamimg people,5,2026-08-12,neutral,0.6231754422187805
good game ever,5,2026-08-12,positive,0.911370038986206
"you might be wondering why i rated a bad score huh, ive been playing this game when i was 4 or 5 y'o it was my favorite game i spent soooo much robux..JUST TO GET BANNED?!...I SPENT OVER 80 to 100+ ROBUX JUST GET BANNED FOR PLAYING ONE GAME. you guys im NOT LYING OK! and all the new updates are TRASH bro.this not a kids game anymore.yall i don't really reccomend this game for kids anymore but it's yall's choise ig? im out.",1,2026-08-12,negative,0.9048740863800049
amazing but I don't like the exploiters in mm2,4,2026-08-12,negative,0.7542003989219666
enjoy playing✌🏻,5,2026-08-12,positive,0.8892519474029541
"I LOVE ROBLOX,ROBLOX HAS THE BEST GAMES",5,2026-08-12,positive,0.9820923805236816
so cool tis gejm,5,2026-08-12,positive,0.9686400890350342
bro this is so fun david basuki when did you made this it is so fun bro you're a legend david basuki!!!(⁠•⁠‿⁠•⁠),5,2026-08-12,positive,0.989916980266571
Czekam na Potwierdzenie Supportu oby sie udalo odzyskac moje konto.,3,2026-08-12,neutral,0.7754350304603577
Stop giving updates that we don't need,3,2026-08-12,negative,0.8260327577590942
I can't believe this game use to be good now it's MOSTLY flooding with ai slop and brainrot with 10% decent games I'm so bloody disappointed,3,2026-08-12,negative,0.9502179026603699
This game is awesome and all and also super cool but you should add some free robux because there are some poor people who can't afford money so pls add some free robux. thanks and bye btw,5,2026-08-12,positive,0.9318810701370239
it lags sometimes but I like it,4,2026-08-12,positive,0.5893095135688782
GIVE OUR ROBLOX RIGHTS BACK!!,1,2026-08-12,positive,0.477972149848938
apk dilta,5,2026-08-12,neutral,0.6988763809204102
not really good. but fun i guess?...actually I low-key hate this app...,1,2026-08-12,negative,0.9472489953041077
bad game. bro likes predators,1,2026-08-12,negative,0.9301335215568542
i like vc becuz its easier to get friends,5,2026-08-12,positive,0.9011209607124329
people so bad at lying they have to lie a admin from the game,1,2026-08-12,negative,0.887963593006134
what is this moderation bruh I said yes it got ### and I got banned for saying hi,1,2026-08-12,negative,0.749950647354126
“Could Roblox bring back Tix? It would be really fun for old and new players to have a free currency again.”,4,2026-08-12,positive,0.9343366622924805
I love it,5,2026-08-12,positive,0.8879141211509705
best game ever,5,2026-08-12,positive,0.9139302968978882
fun untill my mum blockted it,5,2026-08-12,negative,0.5027521252632141
Nice game,1,2026-08-12,positive,0.8778698444366455
"The updates are getting worser than i remember now, back then it was fun. But now its just the worst updates yet..",1,2026-08-12,negative,0.9392473697662354
suiiii,5,2026-08-12,neutral,0.6656113266944885
this is Good game,5,2026-08-12,positive,0.9726143479347229
Best game ever played but now plz return Chat + give us 50 robux Becuase Roblox don't ask to remove chat,5,2026-08-12,positive,0.8212512135505676
I LOVE THIS APP and it is very fun . it's very poty like. btw I love poty,5,2026-08-12,positive,0.9901669025421143
amzing I love it😀😀😀 this game is my best favourite game on 1st place,5,2026-08-12,positive,0.9903987646102905
bring back chat,1,2026-08-12,neutral,0.76137775182724
idk bru,4,2026-08-12,neutral,0.6653189063072205
i love it its so fun the games are fun BUT UPDATES ARE SO BAD,3,2026-08-12,positive,0.8424688577651978
very good game,5,2026-08-12,positive,0.9574296474456787
dik ammo,5,2026-08-12,neutral,0.7081628441810608
we like brainrot steal a brainrot have been my childhood since 2012 a W for brainrot,5,2026-08-12,positive,0.6399518251419067
I love this game ive been playing from the time I was small its absolutely amazingggg ...Just that the updates kind of ruined it,4,2026-08-12,positive,0.8630567789077759
this is best game of the world,5,2026-08-12,positive,0.9753928780555725
bad game bad developer,1,2026-08-12,negative,0.9024055600166321
chat back,1,2026-08-12,neutral,0.6953304409980774
it so good I am playing it from 2021 it so good i roleplay with my friend,5,2026-08-12,positive,0.9870967864990234
because there is NO chat🤬🤬🤬🤬,1,2026-08-12,negative,0.936873733997345
"thus, this game is so good use hack when u fell that this is heaven",5,2026-08-12,positive,0.9784265160560608
the best,5,2026-08-12,positive,0.9175974726676941
best game everrrrr,5,2026-08-12,positive,0.9683496952056885
"this game is so good, but the best game in Roblox is life together this game is so better than internet games in life together you can get a lot of friends to play with and get your dream girlfriend",5,2026-08-12,positive,0.9867870807647705
I like the game it's awesome like I play block fruit in Robles and it's crazy,5,2026-08-12,positive,0.9826897382736206
"roblox, fix yo moderation i was js trying to say "":sob"" and it tagged me, so i kept trying to say "":sob"" and it keeped tagging me until one time it lit shut doen my chat for an ENTIRE DAY!",1,2026-08-12,negative,0.8756282329559326
